rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	Longitud	Latitud
0	1	s20260528_110358141717_451	1	1	2432	1609	3012	3563	1160	1294	1180	3637	-4.417.889.757	-2.013.088.569
1	1	s20260528_110358141717_451	1	1	2437	1648	3100	3613	1139	1324	1197	3558	-4.417.869.271	-2.013.109.542
2	1	s20260528_110358141717_451	1	1	2430	1666	3114	3635	1150	1382	1206	3891	-4.417.842.445	-2.013.078.006
3	1	s20260528_110358141717_451	1	1	2430	1604	3017	3524	1149	1308	1188	3532	-4.417.895.791	-2.013.054.332
4	1	s20260528_110358141717_451	1	1	2448	1611	3084	3573	1139	1317	1189	3673	-4.417.908.797	-2.013.035.057
5	1	s20260528_110358141717_451	1	1	2444	1683	3211	3726	1170	1350	1198	3923	-4.417.868.553	-2.013.143.476
6	1	s20260528_110358141717_451	1	1	2444	1658	3146	3657	1150	1338	1193	3745	-4.417.862.940	-2.013.072.294
7	1	s20260528_110358141717_451	1	1	2434	1635	3085	3589	1137	1314	1184	3543	-4.417.877.455	-2.013.068.904
8	1	s20260528_110358141717_451	1	1	2441	1611	3018	3523	1163	1336	1192	3547	-4.417.908.349	-2.013.047.498
9	1	s20260528_110358141717_451	1	1	2448	1630	3078	3602	1144	1290	1181	3590	-4.417.883.165	-2.013.104.857
10	1	s20260528_110358141717_451	1	1	2436	1632	3062	3571	1169	1340	1200	3719	-4.417.852.202	-2.013.124.003
11	1	s20260528_110358141717_451	1	1	2442	1653	3063	3508	1160	1329	1198	3564	-4.417.802.828	-2.013.102.397
12	1	s20260528_110358141717_451	1	1	2444	1683	3211	3726	1170	1350	1198	3923	-4.417.869.305	-2.013.142.829
13	1	s20260528_110358141717_451	1	1	2430	1666	3114	3635	1150	1382	1206	3891	-4.417.837.086	-2.013.076.042
14	1	s20260528_110358141717_451	1	1	2445	1658	3143	3661	1146	1324	1193	3633	-4.417.870.371	-2.013.123.735
15	1	s20260528_110358141717_451	1	1	2430	1602	3057	3547	1147	1328	1170	3591	-4.417.889.850	-2.013.021.904
16	1	s20260528_110358141717_451	1	1	2441	1627	3068	3593	1157	1324	1195	3648	-4.417.879.065	-2.013.100.233
17	1	s20260528_110358141717_451	1	1	2431	1641	3060	3499	1142	1314	1184	3424	-4.417.905.069	-2.013.121.336
