rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	longitud	latitud
0	1	s20260528_110358141717_451	1	1	2442	1614	3038	3562	1138	1309	1188	3592	-44.179	-20.131
1	1	s20260528_110358141717_451	1	1	2431	1641	3060	3499	1142	1314	1184	3424	-44.179	-20.131
2	1	s20260528_110358141717_451	1	1	2428	1623	3045	3524	1132	1326	1177	3443	-44.179	-20.131
3	1	s20260528_110358141717_451	1	1	2441	1611	3018	3523	1163	1336	1192	3547	-44.179	-20.131
4	1	s20260528_110358141717_451	1	1	2445	1675	3141	3647	1152	1320	1183	3664	-44.178	-20.131
5	1	s20260528_110358141717_451	1	1	2430	1607	2992	3484	1133	1280	1176	3473	-44.179	-20.131
6	1	s20260528_110358141717_451	1	1	2431	1634	3074	3566	1160	1330	1186	3669	-44.179	-20.131
7	1	s20260528_110358141717_451	1	1	2441	1611	3018	3523	1163	1336	1192	3547	-44.179	-20.131
8	1	s20260528_110358141717_451	1	1	2447	1657	3136	3704	1163	1342	1199	3894	-44.179	-20.131
9	1	s20260528_110358141717_451	1	1	2429	1625	3019	3523	1160	1330	1197	3653	-44.178	-20.131
10	1	s20260528_110358141717_451	1	1	2431	1645	3085	3597	1152	1346	1200	3553	-44.179	-20.131
11	1	s20260528_110358141717_451	1	1	2436	1621	3065	3599	1159	1329	1186	3789	-44.179	-20.131
12	1	s20260528_110358141717_451	1	1	2428	1662	3129	3637	1143	1312	1168	3604	-44.178	-20.131
13	1	s20260528_110358141717_451	1	1	2443	1664	3112	3619	1164	1346	1186	3655	-44.178	-20.131
14	1	s20260528_110358141717_451	1	1	2441	1627	3068	3593	1157	1324	1195	3648	-44.179	-20.131
15	1	s20260528_110358141717_451	1	1	2443	1642	3091	3552	1155	1326	1180	3618	-44.179	-20.131
16	1	s20260528_110358141717_451	1	1	2430	1607	2992	3484	1133	1280	1176	3473	-44.179	-20.131
17	1	s20260528_110358141717_451	1	1	2428	1651	3026	3522	1161	1327	1191	3545	-44.178	-20.131
18	1	s20260528_110358141717_451	1	1	2431	1645	3085	3597	1152	1346	1200	3553	-44.179	-20.131
19	1	s20260528_110358141717_451	1	1	2433	1599	3038	3551	1146	1326	1187	3698	-44.179	-20.130
20	2	s20260528_110443305727_435	2	2	3310	2222	2662	2934	1698	1966	2090	2695	-44.206	-20.143
21	2	s20260528_110443305727_435	2	2	3404	2299	3344	3745	1394	1682	1689	3758	-44.207	-20.143
22	2	s20260528_110443305727_435	2	2	3310	2203	2815	3082	1611	1784	2012	2942	-44.205	-20.144
23	2	s20260528_110443305727_435	2	2	3382	2275	2772	2937	1452	1711	1841	3247	-44.206	-20.143
24	2	s20260528_110443305727_435	2	2	3411	2388	2766	2885	1738	1934	2170	2532	-44.206	-20.144
25	2	s20260528_110443305727_435	2	2	3445	2518	3093	3381	1476	1754	1790	3257	-44.206	-20.143
26	2	s20260528_110443305727_435	2	2	3369	2222	2819	3090	1333	1579	1773	3026	-44.205	-20.144
27	2	s20260528_110443305727_435	2	2	3323	2341	2923	3157	1475	1766	2006	3144	-44.205	-20.144
28	2	s20260528_110443305727_435	2	2	3402	2282	3129	3493	1351	1678	1785	3772	-44.205	-20.144
29	2	s20260528_110443305727_435	2	2	3376	2401	2927	3144	1532	1807	2180	2851	-44.206	-20.143
30	2	s20260528_110443305727_435	2	2	3353	2240	2653	2847	1504	1708	1974	2463	-44.206	-20.143
31	2	s20260528_110443305727_435	2	2	3302	2192	2725	2910	1438	1620	1790	2603	-44.205	-20.143
32	2	s20260528_110443305727_435	2	2	3307	2321	2676	2746	1574	1782	1951	2295	-44.206	-20.144
33	2	s20260528_110443305727_435	2	2	3348	2234	2777	3060	1446	1767	2276	3155	-44.205	-20.143
34	2	s20260528_110443305727_435	2	2	3400	2358	2651	2826	1773	1966	2174	2614	-44.205	-20.144
35	2	s20260528_110443305727_435	2	2	3296	2193	3089	3425	1211	1464	1328	3844	-44.206	-20.143
36	2	s20260528_110443305727_435	2	2	3307	2321	2676	2746	1574	1782	1951	2295	-44.206	-20.144
37	2	s20260528_110443305727_435	2	2	3440	2357	2839	3030	1783	1997	2268	2685	-44.205	-20.144
38	2	s20260528_110443305727_435	2	2	3440	2455	2914	3186	1574	1862	2148	3092	-44.206	-20.143
39	2	s20260528_110443305727_435	2	2	3372	2412	2824	3040	1420	1686	1943	2742	-44.206	-20.144
40	3	s20260528_110617811174_79	3	3	3268	2460	4303	4809	1396	1884	1566	4816	-44.209	-20.126
41	3	s20260528_110617811174_79	3	3	3324	2498	4334	4796	1401	1867	1562	4848	-44.209	-20.126
42	3	s20260528_110617811174_79	3	3	3406	2512	4410	4880	1450	1901	1632	4929	-44.208	-20.127
43	3	s20260528_110617811174_79	3	3	3289	2473	4309	4791	1387	1877	1554	4736	-44.208	-20.126
44	3	s20260528_110617811174_79	3	3	3266	2444	4288	4730	1388	1854	1548	4728	-44.208	-20.126
45	3	s20260528_110617811174_79	3	3	3369	2489	4367	4834	1400	1865	1582	4864	-44.208	-20.126
46	3	s20260528_110617811174_79	3	3	3324	2498	4334	4796	1401	1867	1562	4848	-44.209	-20.126
47	3	s20260528_110617811174_79	3	3	3297	2473	4324	4798	1383	1889	1570	4764	-44.208	-20.126
48	3	s20260528_110617811174_79	3	3	3338	2514	4340	4802	1401	1890	1578	4757	-44.208	-20.126
49	3	s20260528_110617811174_79	3	3	3289	2473	4309	4791	1387	1877	1554	4736	-44.208	-20.126
50	3	s20260528_110617811174_79	3	3	3324	2493	4321	4776	1387	1886	1588	4750	-44.209	-20.126
51	3	s20260528_110617811174_79	3	3	3331	2506	4332	4788	1396	1870	1578	4752	-44.209	-20.126
52	3	s20260528_110617811174_79	3	3	3239	2460	4337	4769	1378	1854	1540	4760	-44.209	-20.126
53	3	s20260528_110617811174_79	3	3	3369	2477	4365	4806	1402	1889	1596	4838	-44.209	-20.126
54	3	s20260528_110617811174_79	3	3	3282	2460	4297	4758	1410	1846	1556	4759	-44.209	-20.126
55	3	s20260528_110617811174_79	3	3	3221	2420	4245	4676	1356	1788	1484	4432	-44.209	-20.126
56	3	s20260528_110617811174_79	3	3	3378	2490	4314	4755	1412	1874	1598	4703	-44.209	-20.126
57	3	s20260528_110617811174_79	3	3	3240	2445	4325	4729	1385	1836	1528	4715	-44.209	-20.126
58	3	s20260528_110617811174_79	3	3	3297	2473	4324	4798	1383	1889	1570	4764	-44.208	-20.126
